Category,Artist,Title,Year,Image URL,Painting Info URL,file name,path
Pop Art,Patrick Procktor,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",1970,https://use2-uploads8.wikiart.org/images/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,https://www.wikiart.org/en/patrick-procktor/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970,back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg,/pop_art/back-bay-in-bombay-from-the-india-mother-suite-of-7-aquatints-1970.jpg
Rococo,George Romney,Admiral John Forbes (1714–1796),1778,https://use2-uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg,https://www.wikiart.org/en/george-romney/admiral-john-forbes-1714-1796-1778,admiral-john-forbes-1714-1796-1778.jpg,/rococo/admiral-john-forbes-1714-1796-1778.jpg
Color Field Painting,Ron Gorchov,Untitled,1968,https://use2-uploads4.wikiart.org/images/ron-gorchov/untitled-1968.jpg,https://www.wikiart.org/en/ron-gorchov/untitled-1968,untitled-1968.jpg,/color_field_painting/untitled-1968.jpg
Color Field Painting,Louis Cane,Toile d&#233;coup&#233;e,1976,https://use2-uploads0.wikiart.org/images/louis-cane/toile-d-coup-e-1976.jpg,https://www.wikiart.org/en/louis-cane/toile-d-coup-e-1976,toile-d-coup-e-1976.jpg,/color_field_painting/toile-d-coup-e-1976.jpg
Cubism,Francis Picabia,Dances at the Spring,1912,https://use2-uploads2.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg,https://www.wikiart.org/en/francis-picabia/dances-at-the-spring-1912,dances-at-the-spring-1912.jpg,/cubism/dances-at-the-spring-1912.jpg
Early Renaissance,Domenico Veneziano,Madonna and Child,1435,https://use2-uploads6.wikiart.org/images/domenico-veneziano/madonna-and-child.jpg,https://www.wikiart.org/en/domenico-veneziano/madonna-and-child,madonna-and-child.jpg,/early_renaissance/madonna-and-child.jpg
Art Informel,Karl Otto Gotz,Untitled,1958,https://use2-uploads7.wikiart.org/images/karl-otto-gotz/untitled-1958.jpg,https://www.wikiart.org/en/karl-otto-gotz/untitled-1958,untitled-1958.jpg,/art_informel/untitled-1958.jpg
Expressionism,Edvard Munch,The Sick Child (later),1907,https://use2-uploads2.wikiart.org/images/edvard-munch/the-sick-child-1886.jpg,https://www.wikiart.org/en/edvard-munch/the-sick-child-1886,the-sick-child-1886.jpg,/expressionism/the-sick-child-1886.jpg
Minimalism,Herbert Zangs,Peinture-Relief,1955,https://use2-uploads4.wikiart.org/images/herbert-zangs/peinture-relief-1955.jpg,https://www.wikiart.org/en/herbert-zangs/peinture-relief-1955,peinture-relief-1955.jpg,/minimalism/peinture-relief-1955.jpg
Neo-Expressionism,Joan Brown,Self Portrait with Cloud &amp; Cigarette,1964,https://use2-uploads2.wikiart.org/images/joan-brown/self-portrait-with-cloud-cigarette-1964.jpg,https://www.wikiart.org/en/joan-brown/self-portrait-with-cloud-cigarette-1964,self-portrait-with-cloud-cigarette-1964.jpg,/neo_expressionism/self-portrait-with-cloud-cigarette-1964.jpg
Baroque,Adriaen van de Venne,Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair,1618,https://use2-uploads3.wikiart.org/images/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg,https://www.wikiart.org/en/adriaen-van-de-venne/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair,princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg,/baroque/princes-maurits-and-frederik-hendrik-of-orange-at-the-valkenburg-horse-fair.jpg
Realism,Honore Daumier,Don Quixote and Sancho Pansa Having a Rest under a Tree,1855,https://use2-uploads4.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg,https://www.wikiart.org/en/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree-1855,don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg,/realism/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg
Abstract Art,Victor Servranckx,Red Rotation,1922,https://use2-uploads5.wikiart.org/images/victor-servranckx/red-rotation-1922.jpg,https://www.wikiart.org/en/victor-servranckx/red-rotation-1922,red-rotation-1922.jpg,/abstract_art/red-rotation-1922.jpg
Art Informel,Antonio Areal,Opus II n&#186; 40,1961,https://use2-uploads1.wikiart.org/images/antonio-areal/opus-ii-n-40-1961.jpg,https://www.wikiart.org/en/antonio-areal/opus-ii-n-40-1961,opus-ii-n-40-1961.jpg,/art_informel/opus-ii-n-40-1961.jpg
Neo-Expressionism,Corneille,Planets,1974,https://use2-uploads1.wikiart.org/images/corneille/planets-1974.jpg,https://www.wikiart.org/en/corneille/planets-1974,planets-1974.jpg,/neo_expressionism/planets-1974.jpg
Minimalism,Antonio Calderara,Spazio Luce,1961,https://use2-uploads4.wikiart.org/images/antonio-calderara/spazio-luce-1961.jpg,https://www.wikiart.org/en/antonio-calderara/spazio-luce-1961,spazio-luce-1961.jpg,/minimalism/spazio-luce-1961.jpg
Lyrical Abstraction,Afro,Figure,XX cent.,https://use2-uploads8.wikiart.org/images/afro/figure.jpg,https://www.wikiart.org/en/afro/figure,figure.jpg,/lyrical_abstraction/figure.jpg
Surrealism,Eileen Agar,The Reaper,1938,https://use2-uploads6.wikiart.org/images/eileen-agar/the-reaper-1938.jpg,https://www.wikiart.org/en/eileen-agar/the-reaper-1938,the-reaper-1938.jpg,/surrealism/the-reaper-1938.jpg
Minimalism,Lynda Benglis,Corner Piece,1969,https://use2-uploads1.wikiart.org/images/lynda-benglis/corner-piece-1969.jpg,https://www.wikiart.org/en/lynda-benglis/corner-piece-1969,corner-piece-1969.jpg,/minimalism/corner-piece-1969.jpg
Color Field Painting,Alma Woodsey Thomas,Atmospheric Effects I,1970,https://use2-uploads7.wikiart.org/images/alma-woodsey-thomas/atmospheric-effects-i-1970.jpg,https://www.wikiart.org/en/alma-woodsey-thomas/atmospheric-effects-i-1970,atmospheric-effects-i-1970.jpg,/color_field_painting/atmospheric-effects-i-1970.jpg
Baroque,Francisco de Zurbaran,St. Apollonia,1636,https://use2-uploads6.wikiart.org/images/francisco-zurbaran/st-apollonia-1636.jpg,https://www.wikiart.org/en/francisco-de-zurbaran/st-apollonia-1636,st-apollonia-1636.jpg,/baroque/st-apollonia-1636.jpg
Romanticism,Francisco Goya,Charles IV of Spain and his family,1800,https://use2-uploads6.wikiart.org/images/francisco-goya/charles-iv-of-spain-and-his-family-1800.jpg,https://www.wikiart.org/en/francisco-goya/charles-iv-of-spain-and-his-family-1800,charles-iv-of-spain-and-his-family-1800.jpg,/romanticism/charles-iv-of-spain-and-his-family-1800.jpg
Romanticism,Orest Kiprensky,Portrait of Alexander Pushkin,1827,https://use2-uploads2.wikiart.org/images/orest-kiprensky/portrait-of-alexander-pushkin-1827.jpg,https://www.wikiart.org/en/orest-kiprensky/portrait-of-alexander-pushkin-1827,portrait-of-alexander-pushkin-1827.jpg,/romanticism/portrait-of-alexander-pushkin-1827.jpg
Post-Impressionism,Roger Fry,"View on the Cote d&#39;Azur, Menton",1916,https://use2-uploads6.wikiart.org/images/roger-fry/view-on-the-cote-d-azur-menton-1916.jpg,https://www.wikiart.org/en/roger-fry/view-on-the-cote-d-azur-menton-1916,view-on-the-cote-d-azur-menton-1916.jpg,/post_impressionism/view-on-the-cote-d-azur-menton-1916.jpg
Realism,Charles-Francois Daubigny,French Coastal Scene,1868,https://use2-uploads3.wikiart.org/images/charles-francois-daubigny/french-coastal-scene-1868.jpg,https://www.wikiart.org/en/charles-francois-daubigny/french-coastal-scene-1868,french-coastal-scene-1868.jpg,/realism/french-coastal-scene-1868.jpg
Rococo,Joseph-Marie Vien,Greek Woman at the Bath,1767,https://use2-uploads7.wikiart.org/images/joseph-marie-vien/greek-woman-at-the-bath-1767.jpg,https://www.wikiart.org/en/joseph-marie-vien/greek-woman-at-the-bath-1767,greek-woman-at-the-bath-1767.jpg,/rococo/greek-woman-at-the-bath-1767.jpg
Art Informel,Willi Baumeister,Monturi with Red and Blue,1953,https://use2-uploads8.wikiart.org/images/willi-baumeister/monturi-with-red-and-blue-1953.jpg,https://www.wikiart.org/en/willi-baumeister/monturi-with-red-and-blue-1953,monturi-with-red-and-blue-1953.jpg,/art_informel/monturi-with-red-and-blue-1953.jpg
Expressionism,Tivadar Kosztka Csontvary,Teacher in Morocco,1908,https://use2-uploads1.wikiart.org/images/tivadar-kosztka-csontvary/teacher-in-morocco-1908.jpg,https://www.wikiart.org/en/tivadar-kosztka-csontvary/teacher-in-morocco-1908,teacher-in-morocco-1908.jpg,/expressionism/teacher-in-morocco-1908.jpg
Abstract Expressionism,Marcel Barbeau,Virgin Forest,1948,https://use2-uploads3.wikiart.org/images/marcel-barbeau/virgin-forest-1948.jpg,https://www.wikiart.org/en/marcel-barbeau/virgin-forest-1948,virgin-forest-1948.jpg,/abstract_expressionism/virgin-forest-1948.jpg
Abstract Art,S. H. Raza,Clocher du Village,1958,https://use2-uploads1.wikiart.org/images/syed-haider-raza/clocher-du-village-1958.jpg,https://www.wikiart.org/en/s-h-raza/clocher-du-village-1958,clocher-du-village-1958.jpg,/abstract_art/clocher-du-village-1958.jpg
Post-Impressionism,Janos Tornyai,Wheatland with Woman of Shawl,1912,https://use2-uploads0.wikiart.org/images/janos-tornyai/wheatland-with-woman-of-shawl-1912.jpg,https://www.wikiart.org/en/janos-tornyai/wheatland-with-woman-of-shawl-1912,wheatland-with-woman-of-shawl-1912.jpg,/post_impressionism/wheatland-with-woman-of-shawl-1912.jpg
Magic Realism,Pierre Roy,"Boris Anrep in his Studio, 65 Boulevard Arago",1949,https://use2-uploads3.wikiart.org/images/pierre-roy/boris-anrep-in-his-studio-65-boulevard-arago-1949.jpg,https://www.wikiart.org/en/pierre-roy/boris-anrep-in-his-studio-65-boulevard-arago-1949,boris-anrep-in-his-studio-65-boulevard-arago-1949.jpg,/magic_realism/boris-anrep-in-his-studio-65-boulevard-arago-1949.jpg
Cubism,Amadeo de Souza-Cardoso,Landscape,1912,https://use2-uploads8.wikiart.org/images/amadeo-de-souza-cardoso/landscape-1912.jpg,https://www.wikiart.org/en/amadeo-de-souza-cardoso/landscape-1912,landscape-1912.jpg,/cubism/landscape-1912.jpg
Surrealism,Edward Weston,"Dunes, Oceano",1936,https://use2-uploads1.wikiart.org/images/edward-weston/dunes-oceano-1936.jpg,https://www.wikiart.org/en/edward-weston/dunes-oceano-1936,dunes-oceano-1936.jpg,/surrealism/dunes-oceano-1936.jpg
Neo-Expressionism,Manuel Neri,Figure with Legs Crossed,1991,https://use2-uploads2.wikiart.org/images/manuel-neri/figure-with-legs-crossed-1991.jpg,https://www.wikiart.org/en/manuel-neri/figure-with-legs-crossed-1991,figure-with-legs-crossed-1991.jpg,/neo_expressionism/figure-with-legs-crossed-1991.jpg
Northern Renaissance,Martin Schongauer,Ecce Homo,XV cent.,https://use2-uploads6.wikiart.org/images/martin-schongauer/ecce-homo.jpg,https://www.wikiart.org/en/martin-schongauer/ecce-homo,ecce-homo.jpg,/northern_renaissance/ecce-homo.jpg
Neoclassicism,Vieira Portuense,S&#250;plica de In&#234;s de Castro,XVIII-XIX cent.,https://use2-uploads3.wikiart.org/images/vieira-portuense/s-plica-de-in-s-de-castro.jpg,https://www.wikiart.org/en/vieira-portuense/s-plica-de-in-s-de-castro,s-plica-de-in-s-de-castro.jpg,/neoclassicism/s-plica-de-in-s-de-castro.jpg
Abstract Expressionism,Jock Macdonald,From a Riviera Window,1955,https://use2-uploads2.wikiart.org/images/jock-macdonald/from-a-riviera-window-1955.jpg,https://www.wikiart.org/en/jock-macdonald/from-a-riviera-window-1955,from-a-riviera-window-1955.jpg,/abstract_expressionism/from-a-riviera-window-1955.jpg
Cubism,Louis Marcoussis,La Table,1927,https://use2-uploads0.wikiart.org/images/louis-marcoussis/la-table-1927.jpg,https://www.wikiart.org/en/louis-marcoussis/la-table-1927,la-table-1927.jpg,/cubism/la-table-1927.jpg
Impressionism,Max Liebermann,Woman and Her Goats in the Dunes,1890,https://use2-uploads1.wikiart.org/images/max-liebermann/woman-with-goats.jpg,https://www.wikiart.org/en/max-liebermann/woman-with-goats,woman-with-goats.jpg,/impressionism/woman-with-goats.jpg
Neo-Expressionism,Nyoman Masriadi,Save the Land,1998,https://use2-uploads4.wikiart.org/images/nyoman-masriadi/save-the-land-1998.jpg,https://www.wikiart.org/en/nyoman-masriadi/save-the-land-1998,save-the-land-1998.jpg,/neo_expressionism/save-the-land-1998.jpg
Realism,Jean-Francois Millet,Harvesters Resting,1850-1853,https://use2-uploads5.wikiart.org/images/jean-francois-millet/harvesters-resting-1853.jpg,https://www.wikiart.org/en/jean-francois-millet/harvesters-resting-1853,harvesters-resting-1853.jpg,/realism/harvesters-resting-1853.jpg
Neo-Expressionism,Nathan Oliveira,Golden Head,1986,https://use2-uploads2.wikiart.org/images/nathan-oliveira/golden-head-1986.jpg,https://www.wikiart.org/en/nathan-oliveira/golden-head-1986,golden-head-1986.jpg,/neo_expressionism/golden-head-1986.jpg
Romanticism,John Hoppner,Mary Robinson as Perdita,1782,https://use2-uploads3.wikiart.org/images/john-hoppner/mary-robinson-as-perdita-1782.jpg,https://www.wikiart.org/en/john-hoppner/mary-robinson-as-perdita-1782,mary-robinson-as-perdita-1782.jpg,/romanticism/mary-robinson-as-perdita-1782.jpg
Realism,Fyodor Vasilyev,Rye,1870,https://use2-uploads7.wikiart.org/images/fyodor-vasilyev/rye.jpg,https://www.wikiart.org/en/fyodor-vasilyev/rye,rye.jpg,/realism/rye.jpg
High Renaissance,Andrea Solario,The Lute Player,XV-XVI cent.,https://use2-uploads0.wikiart.org/images/andrea-solario/the-lute-player.jpg,https://www.wikiart.org/en/andrea-solario/the-lute-player,the-lute-player.jpg,/high_renaissance/the-lute-player.jpg
Romanticism,Vasily Tropinin,Portrait of Alexander Pushkin,1827,https://use2-uploads5.wikiart.org/images/vasily-tropinin/not_detected_241177.jpg,https://www.wikiart.org/en/vasily-tropinin/not_detected_241177,not_detected_241177.jpg,/romanticism/not_detected_241177.jpg
Early Renaissance,Filippo Lippi,Annunciation,1443,https://use2-uploads5.wikiart.org/images/filippo-lippi/annunciation.jpg,https://www.wikiart.org/en/filippo-lippi/annunciation,annunciation.jpg,/early_renaissance/annunciation.jpg
Pop Art,Allen Jones,Table,1969,https://use2-uploads1.wikiart.org/images/allen-jones/table-1969.jpg,https://www.wikiart.org/en/allen-jones/table-1969,table-1969.jpg,/pop_art/table-1969.jpg
Post-Impressionism,Paul Gauguin,The Seed of the Areoi,1892,https://use2-uploads0.wikiart.org/images/paul-gauguin/the-seed-of-the-areoi-1892.jpg,https://www.wikiart.org/en/paul-gauguin/the-seed-of-the-areoi-1892,the-seed-of-the-areoi-1892.jpg,/post_impressionism/the-seed-of-the-areoi-1892.jpg
Post-Impressionism,Santiago Rusinol,Terraced Garden in Mallorca,1911,https://use2-uploads1.wikiart.org/images/santiago-rusinol/terraced-garden-in-mallorca-1911.jpg,https://www.wikiart.org/en/santiago-rusinol/terraced-garden-in-mallorca-1911,terraced-garden-in-mallorca-1911.jpg,/post_impressionism/terraced-garden-in-mallorca-1911.jpg
Lyrical Abstraction,Li CHEVALIER,Arrachement,XX cent.,https://use2-uploads3.wikiart.org/00143/images/li-chevalier/arrachement.jpg,https://www.wikiart.org/en/li-chevalier/arrachement,arrachement.jpg,/lyrical_abstraction/arrachement.jpg
Realism,Camille Corot,Souvenir of Mortefontaine,1864,https://use2-uploads5.wikiart.org/images/camille-corot/souvenir-of-mortefontaine-1864.jpg,https://www.wikiart.org/en/camille-corot/souvenir-of-mortefontaine-1864,souvenir-of-mortefontaine-1864.jpg,/realism/souvenir-of-mortefontaine-1864.jpg
Neoclassicism,Gheorghe Tattarescu,"February 11th, 1866 - The Modern Romania",1866,https://use2-uploads5.wikiart.org/images/gheorghe-tattarescu/february-11th-1866-the-modern-romania-1866.jpg,https://www.wikiart.org/en/gheorghe-tattarescu/february-11th-1866-the-modern-romania-1866,february-11th-1866-the-modern-romania-1866.jpg,/neoclassicism/february-11th-1866-the-modern-romania-1866.jpg
Northern Renaissance,Nicholas Hilliard,Elizabeth I - The Pelican Portrait,1575,https://use2-uploads7.wikiart.org/images/nicholas-hilliard/elizabeth-i-the-pelican-portrait-1575.jpg,https://www.wikiart.org/en/nicholas-hilliard/elizabeth-i-the-pelican-portrait-1575,elizabeth-i-the-pelican-portrait-1575.jpg,/northern_renaissance/elizabeth-i-the-pelican-portrait-1575.jpg
Abstract Expressionism,William Turnbull,Head,1953,https://use2-uploads5.wikiart.org/images/william-turnbull/head-1953.jpg,https://www.wikiart.org/en/william-turnbull/head-1953,head-1953.jpg,/abstract_expressionism/head-1953.jpg
High Renaissance,Vittore Carpaccio,The Virgin Reading,1510,https://use2-uploads2.wikiart.org/images/vittore-carpaccio/the-virgin-reading-1510.jpg,https://www.wikiart.org/en/vittore-carpaccio/the-virgin-reading-1510,the-virgin-reading-1510.jpg,/high_renaissance/the-virgin-reading-1510.jpg
Cubism,Lyonel Feininger,Jesuiten III (Jesuits III),1915,https://use2-uploads7.wikiart.org/images/lyonel-feininger/jesuiten-iii-jesuits-iii-1915.jpg,https://www.wikiart.org/en/lyonel-feininger/jesuiten-iii-jesuits-iii-1915,jesuiten-iii-jesuits-iii-1915.jpg,/cubism/jesuiten-iii-jesuits-iii-1915.jpg
Post-Impressionism,Paul Cezanne,Mont Sainte-Victoire,1895,https://use2-uploads5.wikiart.org/images/paul-cezanne/mont-sainte-victoire-3.jpg,https://www.wikiart.org/en/paul-cezanne/mont-sainte-victoire-3,mont-sainte-victoire-3.jpg,/post_impressionism/mont-sainte-victoire-3.jpg
Romanticism,Charles Turner,Cyril Jackson,1811,https://use2-uploads3.wikiart.org/images/charles-turner/cyril-jackson-1811.jpg,https://www.wikiart.org/en/charles-turner/cyril-jackson-1811,cyril-jackson-1811.jpg,/romanticism/cyril-jackson-1811.jpg
Rococo,Canaletto,Perspective with a Portico,1765,https://use2-uploads2.wikiart.org/images/canaletto/perspective-with-a-portico-1765.jpg,https://www.wikiart.org/en/canaletto/perspective-with-a-portico-1765,perspective-with-a-portico-1765.jpg,/rococo/perspective-with-a-portico-1765.jpg
Rococo,Dmitry Levitzky,Portrait of Countess N. F. Vorontsova,1785,https://use2-uploads3.wikiart.org/images/dmitry-levitzky/portrait-of-countess-n-f-vorontsova.jpg,https://www.wikiart.org/en/dmitry-levitzky/portrait-of-countess-n-f-vorontsova,portrait-of-countess-n-f-vorontsova.jpg,/rococo/portrait-of-countess-n-f-vorontsova.jpg
Art Informel,Julius Bissier,29.6.61 T,1961,https://use2-uploads8.wikiart.org/images/julius-bissier/29-6-61-t-1961.jpg,https://www.wikiart.org/en/julius-bissier/29-6-61-t-1961,29-6-61-t-1961.jpg,/art_informel/29-6-61-t-1961.jpg
Romanticism,George Stubbs,Mares and Foals in a River Landscape,1763-1768,https://use2-uploads7.wikiart.org/images/george-stubbs/mares-and-foals-in-a-river-landscape-1768.jpg,https://www.wikiart.org/en/george-stubbs/mares-and-foals-in-a-river-landscape-1768,mares-and-foals-in-a-river-landscape-1768.jpg,/romanticism/mares-and-foals-in-a-river-landscape-1768.jpg
Abstract Expressionism,William Turnbull,Horse,1954,https://use2-uploads6.wikiart.org/images/william-turnbull/horse-1954.jpg,https://www.wikiart.org/en/william-turnbull/horse-1954,horse-1954.jpg,/abstract_expressionism/horse-1954.jpg
Art Informel,Jean Rene Bazaine,Chicago (detail),1953,https://use2-uploads7.wikiart.org/images/jean-rene-bazaine/chicago-detail-1953.jpg,https://www.wikiart.org/en/jean-rene-bazaine/chicago-detail-1953,chicago-detail-1953.jpg,/art_informel/chicago-detail-1953.jpg
Neo-Expressionism,Jean-Michel Basquiat,Bird on Money,1981,https://use2-uploads4.wikiart.org/images/jean-michel-basquiat/bird-on-money.jpg,https://www.wikiart.org/en/jean-michel-basquiat/bird-on-money,bird-on-money.jpg,/neo_expressionism/bird-on-money.jpg
Expressionism,Franz Marc,Blue Fox,1911,https://use2-uploads3.wikiart.org/images/franz-marc/blue-fox-1911.jpg,https://www.wikiart.org/en/franz-marc/blue-fox-1911,blue-fox-1911.jpg,/expressionism/blue-fox-1911.jpg
Surrealism,Balthus,Children,1937,https://use2-uploads0.wikiart.org/images/balthus/children-1937.jpg,https://www.wikiart.org/en/balthus/children-1937,children-1937.jpg,/surrealism/children-1937.jpg
High Renaissance,Pietro Perugino,The vision of St. Bernard,1493,https://use2-uploads1.wikiart.org/images/pietro-perugino/the-vision-of-st-bernard.jpg,https://www.wikiart.org/en/pietro-perugino/the-vision-of-st-bernard,the-vision-of-st-bernard.jpg,/high_renaissance/the-vision-of-st-bernard.jpg
Abstract Expressionism,Aaron Siskind,Feet 102,1957,https://use2-uploads6.wikiart.org/images/aaron-siskind/feet-102-1957.jpg,https://www.wikiart.org/en/aaron-siskind/feet-102-1957,feet-102-1957.jpg,/abstract_expressionism/feet-102-1957.jpg
Impressionism,Henry Herbert La Thangue,"Farm Near Horsey, Norfolk",1885,https://use2-uploads6.wikiart.org/images/henry-herbert-la-thangue/farm-near-horsey-norfolk-1885.jpg,https://www.wikiart.org/en/henry-herbert-la-thangue/farm-near-horsey-norfolk-1885,farm-near-horsey-norfolk-1885.jpg,/impressionism/farm-near-horsey-norfolk-1885.jpg
Post-Impressionism,Stefan Luchian,Interior (Lorica),1913,https://use2-uploads5.wikiart.org/images/stefan-luchian/interior-lorica-1913.jpg,https://www.wikiart.org/en/stefan-luchian/interior-lorica-1913,interior-lorica-1913.jpg,/post_impressionism/interior-lorica-1913.jpg
Neoclassicism,Yannoulis Chalepas,"Mercury, Venus and Pegasus",1933,https://use2-uploads1.wikiart.org/images/yannoulis-chalepas/mercury-venus-and-pegasus-1933.jpg,https://www.wikiart.org/en/yannoulis-chalepas/mercury-venus-and-pegasus-1933,mercury-venus-and-pegasus-1933.jpg,/neoclassicism/mercury-venus-and-pegasus-1933.jpg
Realism,Vasily Perov,Last Journey,1865,https://use2-uploads0.wikiart.org/images/vasily-perov/last-journey-1865.jpg,https://www.wikiart.org/en/vasily-perov/last-journey-1865,last-journey-1865.jpg,/realism/last-journey-1865.jpg
Northern Renaissance,Pieter Bruegel the Elder,Parable of the Blind,1568,https://use2-uploads2.wikiart.org/images/pieter-bruegel-the-elder/parable-of-the-blind-1568.jpg,https://www.wikiart.org/en/pieter-bruegel-the-elder/parable-of-the-blind-1568,parable-of-the-blind-1568.jpg,/northern_renaissance/parable-of-the-blind-1568.jpg
Surrealism,Brassai,"Couple kissing under the Pont au Double, Paris",1935,https://use2-uploads1.wikiart.org/images/brassai/couple-kissing-under-the-pont-au-double-paris-1935.jpg,https://www.wikiart.org/en/brassai/couple-kissing-under-the-pont-au-double-paris-1935,couple-kissing-under-the-pont-au-double-paris-1935.jpg,/surrealism/couple-kissing-under-the-pont-au-double-paris-1935.jpg
Post-Impressionism,Stefan Luchian,Hair Washing,1912,https://use2-uploads2.wikiart.org/images/stefan-luchian/hair-washing-1912.jpg,https://www.wikiart.org/en/stefan-luchian/hair-washing-1912,hair-washing-1912.jpg,/post_impressionism/hair-washing-1912.jpg
Baroque,Artemisia Gentileschi,Portrait of a Condottiero,1622,https://use2-uploads4.wikiart.org/images/artemisia-gentileschi/portrait-of-a-condottiero-1622.jpg,https://www.wikiart.org/en/artemisia-gentileschi/portrait-of-a-condottiero-1622,portrait-of-a-condottiero-1622.jpg,/baroque/portrait-of-a-condottiero-1622.jpg
Surrealism,Frida Kahlo,The Dream (The Bed),1940,https://use2-uploads7.wikiart.org/images/magdalena-carmen-frieda-kahlo-y-calderón-de-rivera/the-dream-the-bed-1940.jpg,https://www.wikiart.org/en/frida-kahlo/the-dream-the-bed-1940,the-dream-the-bed-1940.jpg,/surrealism/the-dream-the-bed-1940.jpg
Romanticism,Horace Vernet,The Emperor Napoleon I,1815,https://use2-uploads2.wikiart.org/images/horace-vernet/the-emperor-napoleon-i-1815.jpg,https://www.wikiart.org/en/horace-vernet/the-emperor-napoleon-i-1815,the-emperor-napoleon-i-1815.jpg,/romanticism/the-emperor-napoleon-i-1815.jpg
